,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Manchester Utd,Scott McTominay,SCO,MF,20,1996,7.0,0,1,0,0.0,0.14,0.0,0.0,,25.3,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Sergio Romero,ARG,GK,30,1987,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Victor Lindelöf,SWE,DF,23,1994,14.3,0,1,0,0.0,0.07,0.0,0.0,,34.4,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,1718,Manchester Utd,Zlatan Ibrahimović,SWE,"MF,FW",35,1981,1.2,0,4,1,25.0,3.4,0.85,0.0,0.0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,1718,Newcastle Utd,Aleksandar Mitrović,SRB,FW,22,1994,1.1,1,4,2,50.0,3.79,1.89,0.25,0.5,9.6,0,0,0,1.2,1.2,0.3,-0.2,-0.2
ENG-Premier League,1718,Newcastle Utd,Ayoze Pérez,ESP,"MF,FW",24,1993,27.7,8,60,23,38.3,2.17,0.83,0.13,0.35,16.7,1,0,0,6.2,6.2,0.1,1.8,1.8
ENG-Premier League,1718,Newcastle Utd,Chancel Mbemba,COD,DF,22,1994,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Newcastle Utd,Christian Atsu,GHA,"FW,MF",25,1992,19.8,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4.0,4.0,0.12,-2.0,-2.0
ENG-Premier League,1718,Newcastle Utd,Ciaran Clark,IRL,DF,27,1989,19.4,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,0.3,0.3
ENG-Premier League,1718,Newcastle Utd,DeAndre Yedlin,USA,DF,24,1993,31.6,0,6,0,0.0,0.19,0.0,0.0,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1718,Newcastle Utd,Dwight Gayle,ENG,FW,26,1990,21.8,6,57,21,36.8,2.62,0.97,0.11,0.29,14.3,4,0,0,8.3,8.3,0.16,-2.3,-2.3
ENG-Premier League,1718,Newcastle Utd,Florian Lejeune,FRA,DF,26,1991,23.4,0,13,2,15.4,0.56,0.09,0.0,0.0,21.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6
ENG-Premier League,1718,Newcastle Utd,Henri Saivet,SEN,MF,26,1990,0.9,1,1,1,100.0,1.08,1.08,1.0,1.0,29.5,1,0,0,0.1,0.1,0.05,1.0,1.0
